net,pos_norm,manhattan_len,bbox_area,overlap_frac,est_routed_len,board_name,order_run,net_index_in_order,pin_count,order_total_est_len,order_mean_overlap,order_std_overlap,order_mean_manhattan,order_final_occupied_ratio
/+VE,0.0,54.13999999999997,355.7651999999993,0.0,54.13999999999997,ACtoDCconverter.kicad_pcb,0,0,6,243.92737762237743,0.5356643356643357,0.44350442045362437,39.47699999999997,0.5263157894736842
Net-(D1-A,0.25,31.99999999999993,199.87199999999942,1.0,44.7999999999999,ACtoDCconverter.kicad_pcb,0,1,3,243.92737762237743,0.5356643356643357,0.44350442045362437,39.47699999999997,0.5263157894736842
Net-(D3-A,0.5,43.53999999999998,342.14399999999966,0.7692307692307693,56.93692307692305,ACtoDCconverter.kicad_pcb,0,2,3,243.92737762237743,0.5356643356643357,0.44350442045362437,39.47699999999997,0.5263157894736842
Net-(D5-A,0.75,11.754999999999967,23.505999999999773,0.0,11.754999999999967,ACtoDCconverter.kicad_pcb,0,3,2,243.92737762237743,0.5356643356643357,0.44350442045362437,39.47699999999997,0.5263157894736842
GND,1.0,55.94999999999999,566.4971999999997,0.9090909090909091,76.29545454545453,ACtoDCconverter.kicad_pcb,0,4,6,243.92737762237743,0.5356643356643357,0.44350442045362437,39.47699999999997,0.5263157894736842
/+VE,0.0,54.13999999999997,355.7651999999993,0.0,54.13999999999997,ACtoDCconverter.kicad_pcb,1,0,6,245.93771428571407,0.6428571428571429,0.37252585172586566,39.47699999999996,0.5263157894736842
GND,0.25,55.94999999999999,566.4971999999997,0.7142857142857143,71.93571428571428,ACtoDCconverter.kicad_pcb,1,1,6,245.93771428571407,0.6428571428571429,0.37252585172586566,39.47699999999996,0.5263157894736842
Net-(D5-A,0.5,11.754999999999967,23.505999999999773,0.5,14.10599999999996,ACtoDCconverter.kicad_pcb,1,2,2,245.93771428571407,0.6428571428571429,0.37252585172586566,39.47699999999996,0.5263157894736842
Net-(D3-A,0.75,43.53999999999998,342.14399999999966,1.0,60.95599999999997,ACtoDCconverter.kicad_pcb,1,3,3,245.93771428571407,0.6428571428571429,0.37252585172586566,39.47699999999996,0.5263157894736842
Net-(D1-A,1.0,31.99999999999993,199.87199999999942,1.0,44.7999999999999,ACtoDCconverter.kicad_pcb,1,4,3,245.93771428571407,0.6428571428571429,0.37252585172586566,39.47699999999996,0.5263157894736842
